CodeHydro,Periode,Automne,Hiver,Printemps,Été
A116003002,1976-2005,5.371482583175445,13.118745861038475,10.080778719565217,5.043984494686699
A133003001,1976-2005,10.017742712391057,23.82001328987673,17.874647238768116,8.13493576291682
A147003001,1976-2005,10.164832979158772,24.13747138774748,18.212211411956524,8.323108816782705
A161003001,1976-2005,18.637257915877225,45.01582898356369,34.58901027753623,14.81669112275559
A216010001,1976-2005,7.52186462713149,18.06477756257004,14.3880145307971,5.28102668559912
A286011003,1976-2005,7.043071341417204,16.880798483750468,12.502854369565219,5.01401797288384
A315020001,1976-2005,3.8604300352406216,9.89347644826298,7.1298914181159425,3.6736373616709415
A331010001,1976-2005,4.007525699886321,10.211701187523348,7.407430017753623,3.8310222400146574
A348020001,1976-2005,4.408201400530504,10.418316805379156,7.600713855072463,3.743425006229388
A349020001,1976-2005,4.683714503599848,11.006652375046695,8.100040464492754,4.030349452180286
A369011001,1976-2005,2.7228944259189087,6.574232883451625,4.978991382608696,2.6541247321363137
A420063001,1976-2005,15.79108377415688,33.15651965371685,23.73465037427536,8.216736175522168
A443064001,1976-2005,26.29265052444108,56.511727581621216,39.30806300688406,14.141357289483329
A543101001,1976-2005,7.323949818112921,18.4221396839746,12.196039685507246,5.984930235251007
A573061001,1976-2005,43.57940473323228,99.78968345461337,69.01973279021739,28.614838626969586
A631101001,1976-2005,19.505149161424782,44.96465034703026,28.101865445652173,11.105550949432027
A692101001,1976-2005,34.36049929101933,80.03839057713859,52.463570893478256,23.059059011725907
A701061001,1976-2005,81.50435699507389,187.79837152857675,127.87088564818842,55.21705404910223
A782101001,1976-2005,6.02506699469496,13.83146400597684,9.599431196014493,5.140230294613412
A788101001,1976-2005,7.8099596866237215,17.89792793686963,12.505902023913043,6.769229553682667
A843101001,1976-2005,8.361673980674498,23.294203678744864,15.429727203623187,7.370985629534628
A850061001,1976-2005,104.97134726942024,249.56627128128503,172.5689875192029,77.57561134261634
A907105050,1976-2005,6.015125628268283,14.421205957788569,10.232771019565218,4.851165270428728
A909106050,1976-2005,6.849345310344828,16.41168261001121,11.719647185144927,5.6174663165994865
A931109050,1976-2005,25.77005941796135,67.77462413111692,47.30832537789855,23.2022252532063
A994202002,1976-2005,6.511663853353544,16.247511320508032,11.117003497463768,5.830011509710516
B115001001,1976-2005,13.909857082228116,37.54532948748599,24.725551137318842,11.475956195309637
B213001001,1976-2005,17.921169427813563,48.3345096839746,31.829572117753624,14.927938972150972
B222001001,1976-2005,19.48485480181887,52.98628567202093,34.77915614673913,16.26235230010993
B315002001,1976-2005,28.62545749526336,80.41909861897646,53.671441485144925,24.761639032246244
B611101001,1976-2005,11.282451777946193,35.17522626148674,22.645116239130434,9.488513104800294
E171551001,1976-2005,2.995647860174308,6.4248339936496075,5.371409559782609,3.176233469036277
E182601001,1976-2005,4.055299053429329,9.26687173515129,7.08713873768116,4.329442959692195
E183041001,1976-2005,8.827538948465326,18.406007823683225,15.635235400362319,9.430010303407842
E540031001,1976-2005,7.161919491095112,19.110549670900262,10.586587262318842,5.45787560571638
E550572001,1976-2005,4.788712248200076,12.649517810982443,8.151493627173913,4.3093092099670205
E640601001,1976-2005,0.17750185676392571,0.42565905341800525,0.21950778586956524,0.10981466581165261
E642601001,1976-2005,0.10453701780977644,0.43396805042958536,0.10166462681159422,0.0577136240381092
F232000101,1976-2005,0.5897193766578249,1.6084317366454988,1.2921913648550725,0.48120635947233414
F355040000,1976-2005,1.3379458268283442,2.1028057329099736,1.6771483442028987,1.1510805518504947
F357000101,1976-2005,3.7424015873436907,5.53616228128502,4.5802363326086954,3.2916787665811653
F410000601,1976-2005,1.3072656422887456,2.6769197997758685,2.309941140942029,1.3137741696592158
F415000101,1976-2005,2.432930178476696,5.0815956511019795,4.006769321014493,2.269327006229388
F416000201,1976-2005,3.923477209549071,7.160203604407919,6.0238464692028995,3.795080827042873
F422000201,1976-2005,10.190468508904889,17.24123196413896,15.1841699307971,9.925493689263467
F439000101,1976-2005,18.709582500947327,28.807299363093012,25.885206749275365,18.04370683327226
F448060000,1976-2005,1.1431760041682457,1.578701027642884,1.4686346061594202,1.1055287218761451
F453000101,1976-2005,2.434110572944297,3.5959722203959656,3.1153943931159422,2.166622631366801
F458000100,1976-2005,1.813419594922319,2.5111285946955544,2.0894907518115944,1.6141592495419568
F459000101,1976-2005,6.111778552860932,8.393392338064999,7.371417894927536,5.610072993037743
F464000201,1976-2005,1.4450504827586208,2.2522277911841617,1.9497522333333333,1.3703637123488457
F467000101,1976-2005,2.0865118336491095,3.3080073466567055,2.7839429489130434,1.9550442579699523
F474000102,1976-2005,0.7423113080712391,1.4921869880463206,1.1762963423913044,0.6149457266397947
F482000000,1976-2005,1.6311222004547177,2.9691558666417635,2.5050663760869565,1.4717902209600586
F487000400,1976-2005,2.1053201235316408,4.023908375793798,3.4647670757246374,1.947574303774276
F490000100,1976-2005,161.43476111102692,324.9814027429959,272.8398283326087,162.49704670721874
F608000100,1976-2005,50.83005727434634,130.20581560104594,89.13775060797101,45.26860254012459
F619000101,1976-2005,1.3633232569154983,3.3234184912215166,3.358038738405797,1.6856140425064126
F624000200,1976-2005,1.0125361117847669,3.17458195330594,2.617071667753623,1.0290204213997802
F625000101,1976-2005,2.0392553183023874,5.71189475793799,4.844112374637681,2.0594162334188346
F643000101,1976-2005,67.59747815119364,161.80786719051176,120.3584348021739,64.16897944631734
G017042101,1976-2005,1.6033210306934444,3.1123360138214418,1.5326522014492754,0.7818284096738732
H010001001,1976-2005,2.7085408552482,6.905578858797162,5.017624830797102,2.5935135749358738
