Id_station;code_Hydro;nom_station;longitude;latitude;Periode;Automne;Hiver;Printemps;Été
390;A116003002;L'ILL-A-DIDENHEIM;7.306562;47.717758;2005;5.371482583175445;13.118745861038477;10.080778719565217;5.043984494686699
268;A133003001;L'ILL-A-ENSISHEIM;7.348210;47.866882;2005;10.017742712391057;23.82001328987673;17.874647238768116;8.13493576291682
224;A147003001;L'ILL-A-OBERHERGHEIM;7.398568;47.967632;2005;10.164832979158772;24.13747138774748;18.212211411956524;8.323108816782705
183;A161003001;L'ILL-A-COLMAR-[LADHOF];7.384986;48.102531;2005;18.637257915877225;45.01582898356369;34.58901027753623;14.81669112275559
469;A216010001;LA-FECHT-A-GUEMAR;7.402653;48.187145;2005;7.52186462713149;18.06477756257004;14.3880145307971;5.28102668559912
380;A286011003;LA-BRUCHE-A-HOLTZHEIM-;7.636941;48.558712;2005;7.043071341417204;16.880798483750468;12.50285436956522;5.01401797288384
407;A315020001;LA-ZINSEL-DU-NORD-A-SCHWEIGHOUSE-SUR-MODER;7.725576;48.830181;2005;3.8604300352406216;9.89347644826298;7.129891418115943;3.6736373616709415
381;A331010001;LA-MODER-A-KALTENHOUSE;7.842964;48.791401;2005;4.007525699886321;10.211701187523348;7.407430017753623;3.8310222400146574
379;A348020001;LA-ZORN-A-WALTENHEIM-SUR-ZORN;7.633682;48.749634;2005;4.408201400530504;10.418316805379156;7.600713855072463;3.743425006229388
356;A349020001;LA-ZORN-A-HOERDT-;7.780890;48.711311;2005;4.683714503599848;11.006652375046697;8.100040464492754;4.030349452180286
454;A369011001;LA-SAUER-A-BEINHEIM;8.068490;48.859936;2005;2.7228944259189087;6.574232883451625;4.978991382608696;2.6541247321363137
408;A420063001;LA-MOSELLE-A-SAINT-NABORD-[NOIRGUEUX];6.611131;48.067078;2005;15.79108377415688;33.15651965371685;23.73465037427536;8.216736175522168
232;A443064001;LA-MOSELLE-A-EPINAL;6.452981;48.165665;2005;26.29265052444108;56.511727581621216;39.30806300688406;14.141357289483327
292;A543101001;LE-MADON-A-PULLIGNY;6.131546;48.545357;2005;7.323949818112921;18.4221396839746;12.196039685507246;5.984930235251007
112;A573061001;LA-MOSELLE-A-TOUL;5.896402;48.669765;2005;43.57940473323228;99.78968345461335;69.01973279021739;28.614838626969583
287;A631101001;LA-MEURTHE-A-AZERAILLES;6.738613;48.449238;2005;19.505149161424782;44.96465034703026;28.101865445652173;11.105550949432027
128;A692101001;LA-MEURTHE-A-LANEUVEVILLE-DEVANT-NANCY;6.272227;48.642506;2005;34.36049929101933;80.03839057713859;52.463570893478256;23.059059011725907
63;A701061001;LA-MOSELLE-A-CUSTINES;6.121750;48.789669;2005;81.50435699507389;187.79837152857675;127.87088564818842;55.21705404910223
298;A782101001;LA-SEILLE-A-NOMENY;6.227788;48.888271;2005;6.02506699469496;13.83146400597684;9.599431196014493;5.140230294613412
226;A788101001;LA-SEILLE-A-METZ-[PONT-LOTHAIRE];6.188151;49.100773;2005;7.8099596866237215;17.89792793686963;12.505902023913045;6.769229553682667
230;A843101001;L'ORNE-A-ROSSELANGE;6.072001;49.256393;2005;8.361673980674498;23.294203678744864;15.429727203623187;7.370985629534628
38;A850061001;LA-MOSELLE-A-UCKANGE;6.172719;49.316715;2005;104.97134726942024;249.56627128128503;172.5689875192029;77.57561134261634
367;A907105050;LA-SARRE-A-DIEDENDORF;7.055086;48.877289;2005;6.015125628268283;14.421205957788567;10.232771019565218;4.851165270428728
316;A909106050;LA-SARRE-A-KESKASTEL;7.038975;48.969776;2005;6.849345310344828;16.41168261001121;11.719647185144929;5.617466316599487
100;A931109050;LA-SARRE-A-SARREGUEMINES-[WELFERDING];7.044142;49.122383;2005;25.77005941796135;67.77462413111692;47.30832537789855;23.2022252532063
243;A994202002;LA-NIED-A-BOUZONVILLE;6.539043;49.301285;2005;6.511663853353544;16.247511320508032;11.117003497463768;5.830011509710516
185;B115001001;LA-MEUSE-A-DOMREMY-LA-PUCELLE;5.676029;48.439999;2005;13.909857082228116;37.54532948748599;24.72555113731884;11.475956195309635
148;B213001001;LA-MEUSE-A-COMMERCY;5.602962;48.768318;2005;17.921169427813563;48.3345096839746;31.829572117753624;14.927938972150972
135;B222001001;LA-MEUSE-A-SAINT-MIHIEL;5.530634;48.870991;2005;19.48485480181887;52.98628567202093;34.77915614673913;16.26235230010993
95;B315002001;LA-MEUSE-A-STENAY;5.178851;49.494347;2005;28.62545749526336;80.41909861897646;53.671441485144925;24.761639032246244
218;B611101001;LA-SEMOY-A-HAULME;4.786288;49.862934;2005;11.282451777946193;35.17522626148674;22.645116239130434;9.488513104800294
369;E171551001;LE-VIEIL-ESCAUT-A-HORDAIN;3.310761;50.266968;2005;2.995647860174308;6.424833993649608;5.371409559782609;3.176233469036277
360;E182601001;LA-HAYNE-A-SAINT-AYBERT;3.652519;50.449825;2005;4.055299053429329;9.26687173515129;7.08713873768116;4.329442959692195
132;E183041001;L'ESCAUT-A-CONDE-SUR-L'ESCAUT;3.586249;50.440731;2005;8.827538948465326;18.406007823683225;15.63523540036232;9.430010303407842
311;E540031001;LA-CANCHE-A-BRIMEUX;1.830838;50.448238;2005;7.161919491095112;19.110549670900262;10.586587262318842;5.45787560571638
346;E550572001;L'AUTHIE-A-DOMPIERRE-SUR-AUTHIE;1.918714;50.304657;2005;4.788712248200076;12.649517810982443;8.151493627173913;4.3093092099670205
427;E640601001;L'AVRE-A-MOREUIL;2.486220;49.769356;2005;0.1775018567639257;0.4256590534180052;0.2195077858695652;0.1098146658116526
